Data,JzCode,FullName,TableColumns
money_supply,JZ0001051,货币投放量,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
money_net_supply,JZ0001052,货币净投放量,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fx_forward_1w,JZ0001053,外汇远期:买价升贴水:美元兑人民币:1周,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fx_forward_1m,JZ0001054,外汇远期:买价升贴水:美元兑人民币:1个月,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fx_forward_3m,JZ0001055,外汇远期:买价升贴水:美元兑人民币:3个月,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fx_forward_6m,JZ0001056,外汇远期:买价升贴水:美元兑人民币:6个月,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fx_forward_9m,JZ0001057,外汇远期:买价升贴水:美元兑人民币:9个月,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fx_forward_1y,JZ0001058,外汇远期:买价升贴水:美元兑人民币:1年,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fr001,JZ0001059,FR001,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
fr007,JZ0001060,FR007,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
7d_moving_average_interest_rate,JZ0001061,七天移动平均利率:当日加权值,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
index_component_weight,JZ0001062,"指数比重:000300.SH,000852.SH,000905.SH","CurDate,IndexCode,ComponentCode,Weight,ComponentName,ComponentType,Type,UpdateTime"
cdb_bonds_yield_to_maturity,JZ0001063,"国开债:0y,1m,2m,3m,6m.9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,15y,20y,30y","CurDate,CodeType,Value,IFindID,Name,Type,UpdateTime"
dividend_yield,JZ0001064,"股息率:000300.SH,000905.SH,000016.SH","CurDate,Code,Value,Type"
equity_rating,JZ0001065,沪深300基础分级数据,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
exchange_rate,JZ0001066,美元兑日元;欧元兑美元;中间价:美元兑人民币,"CurDate,CodeType,Value,WindID,Name,Type,UpdateTime"
spt_au_usd_oz_idc,JZ0001067,伦敦金现,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
us_bonds_10y_effective_interest_rate,JZ0001068,美债十年期实际利率,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
global_m2_index,JZ0001069,"世界各国M2指数：中国M2,日本M2,欧洲M2,美国周度M2","CurDate,CodeType,Value,WindID,Name,Type,UpdateTime"
us_bonds_5y_effective_interest_rate,JZ0001070,美债5年期实际利率,"CurDate,Value,CodeType,WindID,Name,Type,UpdateTime"
us_bonds_yields,JZ0001071,"美国国债收益率:1m,3m,6m,1y,2y,3y,5y,7y,10y,20y,30y","CurDate,CodeType,Value,IFindID,Name,Type,UpdateTime"
crb_composite_index,JZ0001072,CRB现货指数：综合,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
average_wholesale_pork_price,JZ0001073,平均批发价:猪肉,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
brent_sc_settle_price,JZ0001074,期货结算价(连续):布伦特原油,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_bonds_yield_to_maturity,JZ0001075,"中债国债到期收益率:0y,1m,2m,3m,6m.9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,15y,20y,30y,40y,50y","CurDate,CodeType,Value,IFindID,Name,Type,UpdateTime"
